
// Author：Acloudtwei  //


香港頻道,#genre#
凤凰中文,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEGEGM4G/timeshift.m3u8?txKbps=702&delay=2487
凤凰资訊,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEEWQKN4/timeshift.m3u8?txKbps=702&delay=967
中天亚洲台,http://2023.stream-link.org/live/1096161090
中天亚洲台,http://162.19.247.76:22222/live/ztyz/index.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8 
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8 
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8 
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8 
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?zgangd
凤凰卫视电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8 
CelestialMovies,http://210.210.155.37/dr9445/h/h14/index.m3u8
Kix,http://210.210.155.37/dr9445/h/h07/index.m3u8
香港有線財經資訊台,https://api.leonardpark.dev/live/icable/108
香港有線新聞,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u
香港有線新聞,http://61.10.2.141/live_freedirect/hd110_h.live/playlist.m3u8
香港衛視,http://hw-play.lezhibo.com/live/bd2d26fd492b403d8ec69de1859bdb31.m3u8
香港衛視,https://piccpndks.v.kcdnvip.com/audio/xianggangweishi_2.m3u8
香港麵包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
TVB J2,https://j3.lhlh.app/mv.m3u8?checkedby:iptvcat.com
TVB J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
TVB財經,http://radius.8866.org:800/hls/83/index.m3u8
TVB財經,https://p2.weizan.cn:443/1646497941/269664979080385265/live.m3u8?$1M1280x720
有線財經資訊台,http://61.10.2.141/live_freedirect/freehd208_h.live/playlist.m3u8
有線新聞台,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有線新聞台,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
有線新聞台,http://61.10.2.151:80/live_freedirect/freehd209_h.live/chunklist_w1201085709.m3u8
亞洲新聞台,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
財經體育資訊台,https://j3.lhlh.app/mv.m3u8
財經體育資訊台,https://p2.weizan.cn:443/1646497941/269664979080385265/live.m3u8
財經體育資訊台,http://120.84.96.73:808/hls/86/index.m3u8
財經體育資訊台,http://120.84.96.89:808/hls/86/index.m3u8
經典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
經典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/473734/live_179302204_68184269.m3u8
經典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/58/live_179302204_68184269.m3u8
經典功夫台,https://cn-jsyz-ct-03-27.bilivideo.com/live-bvc/298214/live_179302204_68184269.m3u8
點掌財經,http://cclive2.aniu.tv/live/anzb.m3u8
耀才財經,http://202.69.67.66:443/webcast/bshdlive-mobile/playlist.m3u8
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
耀才財經,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
KIX,http://210.210.155.35/dr9445/h/h07/02.m3u8

澳門頻道,#genre#
澳亞衛視,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳亞衛視,http://107.151.203.111:2209/135/hk.php?id=aoya
澳門蓮花,http://iptv.weai.love/live?ispa=full&type=gdjy&ipdz=120.84.96.i&tvid=amlh
澳門蓮花,http://iptv.weai.love/live?type=gdjy&ipdz=120.84.96,i&tvid=amlh
澳門蓮花,http://iptv.weai.love/live?type=gxyl&ipdz=116.11.140,i&tvid=amlh
澳門蓮花,http://nettvpro.live/hls/lotustv.php
澳門蓮花,http://120.84.96.73:808/hls/24/index.m3u8
澳門蓮花,http://120.84.96.89:808/hls/24/index.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳视资讯,http://61.244.22.5/ch5/info_ch5.live/playlist.m3u8
澳视综艺,http://61.244.22.5/ch6/hd_ch6.live/playlist.m3u8
澳视Macau,http://61.244.22.5/ch3/ch3.live/index.m3u8
澳视澳門,http://61.244.22.5/ch1/ch1.live/playlist.m3u8
澳门体育,http://61.244.22.5/ch4/sport_ch4.live/playelist.m3u8
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
华语电视1,http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8
华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8

台灣頻道,#genre#
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8 
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8 
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8 
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8 
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8 
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
民视新闻(5G),http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻(5G),http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
TVBS新闻(5G),http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
东森新闻美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
东森美洲卫视,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8?zgangd
